,time,theta,psi
707,1.17833333333333000000E+01,2.24131173612218000000E+01,1.47156055533266000000E-01
708,1.18000000000000000000E+01,2.25182262465493000000E+01,2.13803321080107000000E-01
709,1.18166666666667000000E+01,2.26233351318768000000E+01,2.80450586626941000000E-01
710,1.18333333333333000000E+01,2.27243476272837000000E+01,3.51073297066002000000E-01
711,1.18500000000000000000E+01,2.28218054294573000000E+01,4.25145749187777000000E-01
712,1.18666666666667000000E+01,2.29192632316308000000E+01,4.99218201309560000000E-01
713,1.18833333333333000000E+01,2.30167210338043000000E+01,5.73290653431336000000E-01
714,1.19000000000000000000E+01,2.31059024740778000000E+01,6.23048857700631000000E-01
715,1.19166666666667000000E+01,2.31936825687574000000E+01,6.68690197034721000000E-01
716,1.19333333333333000000E+01,2.32814626634370000000E+01,7.14331536368817000000E-01
717,1.19500000000000000000E+01,2.33674187805310000000E+01,7.53360482015615000000E-01
718,1.19666666666667000000E+01,2.34447759436471000000E+01,7.61215980440239000000E-01
719,1.19833333333333000000E+01,2.35221331067632000000E+01,7.69071478864863000000E-01
720,1.20000000000000000000E+01,2.35994902698793000000E+01,7.76926977289487000000E-01
721,1.20166666666667000000E+01,2.36716775430740000000E+01,7.70884270859650000000E-01
722,1.20333333333333000000E+01,2.37385861611730000000E+01,7.50650966372564000000E-01
723,1.20500000000000000000E+01,2.38054947792720000000E+01,7.30417661885477000000E-01
724,1.20666666666667000000E+01,2.38724033973710000000E+01,7.10184357398392000000E-01
725,1.20833333333333000000E+01,2.39313178357357000000E+01,6.79031418940578000000E-01
726,1.21000000000000000000E+01,2.39884127531481000000E+01,6.45393109442750000000E-01
727,1.21166666666667000000E+01,2.40455076705605000000E+01,6.11754799944915000000E-01
